Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,91.6603980031457,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.3562921509542,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Afghanistan,,,,,,,,,,,,,,,,23.0,28.5609741210938,34.253246307373,42.4,45.6705551147461,42.7,43.2220189082037,69.1,68.9332656860352,89.5,71.5,97.7,97.7,98.7132034301758
Angola,,,,,,,,,,,,20.0,25.0560569763184,26.1385898590088,27.1979007720947,28.2321949005127,29.2503795623779,37.5,31.2847576141357,32.3241195678711,33.3937110900879,34.6,35.6665000915527,36.8723831176758,32.0,42.0,40.6680183410645,41.9628944396973,43.2592582702637
Albanie,,,,,,,,,,,,,,,,,,,,,,,99.9,100.0,100.0,100.0,100.0,100.0,100.0
Andorre,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Le monde arabe,,,,,,,,77.29785071280352,78.30277939766302,78.98086120443901,78.47936369896976,80.02304688428256,77.99911115703004,79.30631056011927,79.53718398543569,80.57472755078318,84.62120589771807,82.92687844012985,83.6449921024328,84.27092126846895,86.9599909576562,87.1994742750379,87.51226024161203,88.12988133262965,87.27532251167128,88.72009737161883,89.30860169656086,90.28363755871962,89.28685622331598
Émirats arabes unis,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Argentine,,,,,,,,,,,,95.5110634674458,96.10791015625,96.384895324707,96.6386489868164,96.8673934936523,97.0800247192383,97.2881317138672,97.5032958984375,97.7371063232422,98.82,99.278694152832,99.4978561401367,99.4765548706055,100.0,99.8271179199219,99.9591217041016,100.0,100.0
Arménie,,,,,,,,,,,98.9,100.0,98.0,99.2390213012695,99.2913589477539,99.8,99.3298950195313,99.3365783691406,99.3503265380859,99.3827133178711,99.8,99.8304901123047,99.8970260620117,99.894287109375,99.9572830200195,100.0,100.0,100.0,100.0
Samoa américaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,,,,,,,,,,,,,,,,92.2,100.0,100.0,100.0,98.3703689575195,98.488655090332,94.5520140336941,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Australie,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Autriche,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaïdjan,,,,,,,,,,97.0,98.9082224496759,98.6376953125,100.0,99.0275115966797,99.189811706543,99.3271026611328,99.5,99.5649337768555,99.6886520385742,99.8310089111328,99.9382934570313,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Burundi,,,,,,,,1.89938414096832,3.9,2.6241500377655,2.98074841499329,3.32753109931946,3.66002893447876,3.97377228736877,4.26429224014282,3.20731707317073,4.77918767929077,5.02405643463135,4.8,5.54655647277832,5.3,6.18996858596802,6.5,6.9,7.0,8.63160705566406,9.63749980926514,9.3,11.0242519378662
Belgique,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bénin,,,,,,,14.5,18.0600566864014,19.1755447387695,20.2901554107666,21.3994197845459,21.9,23.5840339660645,24.6504440307617,25.6936302185059,26.7117977142334,27.9,28.7113933563232,29.7159881591797,30.7392272949219,34.2,36.9,38.4,35.6286277770996,34.1,37.7004013061523,38.9702529907227,34.5,41.529239654541
Burkina Faso,,,,6.1,6.17666959762573,6.6671085357666,7.15994262695313,7.65577077865601,8.15434646606445,6.9,9.14439868927002,9.6269359588623,10.0951881408691,11.4,10.9709606170654,11.3722171783447,11.7573652267456,12.1379890441895,12.525671005249,12.9319982528687,13.1,15.0398483276367,15.4381132125854,15.5959062576294,19.2,16.3046741485596,16.8605937957764,17.5064811706543,14.4
Bangladesh,,14.29,11.9665746688843,14.539306640625,17.8,19.6889629364014,22.2670841217041,22.4,27.4320621490479,30.0150470733643,32.0,35.1605110168457,37.7140502929688,40.248836517334,40.6,44.23,50.5251024590164,46.5,52.6562576293945,55.1478729248047,55.26,59.6,62.8470039367676,61.5,62.4,73.1279678344727,75.92,88.0,85.1604232788086
Bulgarie,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bahreïn,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bahamas,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bosnie-Herzégovine,,,,,,,,,,,100.0,99.4,98.5,100.0,100.0,100.0,99.3872769868445,99.7,100.0,100.0,100.0,99.705780546902,100.0,99.5,100.0,99.7,100.0,100.0,100.0
Bélarus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belize,,67.0,70.3068161010742,71.4197998046875,72.5339813232422,73.6499557495117,74.7683334350586,75.8896942138672,77.0138092041016,78.1370468139648,79.0,80.3630065917969,81.4568023681641,82.5318374633789,83.5836486816406,84.6104431152344,90.9885308574549,86.6272888183594,87.6405029296875,88.6723709106445,89.9172243747798,91.6817359855335,91.9922561645508,93.1906356811523,94.4246139526367,91.8,96.9637756347656,98.2511520385742,99.5400161743164
Bermudes,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bolivie,,,59.8465957641602,61.209789276123,64.1,63.9403762817383,71.0,67.330431,71.2,70.929888,69.963045,69.258539,63.996855,72.3,76.1259994506836,68.288209,76.211281,80.156567,84.674991,86.765597,88.0331954956055,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,95.5853652954102
Brésil,87.475116,90.1042251586914,88.803833,89.999927,91.5264511108398,91.728598,92.867095,93.354139,94.193812,94.76296,94.4127731323242,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.9767379760742,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,100.0,100.0
